car_ID,symboling,CarName,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
1017,0,subaru dl,gas,std,four,wagon,4wd,front,95.9,175.3,65.8,54.7,2414,ohcf,four,108,2bbl,3.7,2.66,8.96,83,4763,24,29,8108.0
1018,0,honda civic 1300,gas,std,two,hatchback,fwd,front,96.4,166.9,65.4,52.8,2310,ohc,four,109,1bbl,3.16,3.63,9.03,87,5839,28,32,9266.0
1019,1,plymouth cricket,gas,turbo,two,hatchback,fwd,front,94.6,157.3,64.7,50.8,2116,ohc,four,99,spdi,3.08,3.36,7.58,103,5531,24,30,8380.0
1020,0,subaru trezia,gas,std,four,wagon,fwd,front,96.7,175.5,65.2,52.5,2245,ohcf,four,108,2bbl,3.61,2.65,8.92,83,4793,28,31,7788.0
1021,2,volkswagen super beetle,diesel,turbo,four,sedan,fwd,front,97.5,172.9,67.0,56.8,2334,ohc,four,96,idi,3.02,3.37,22.94,69,4498,38,42,9343.0
1022,1,audi 4000,gas,turbo,four,sedan,fwd,front,109.0,188.7,71.3,57.1,3048,ohc,five,131,mpfi,3.14,3.45,8.33,141,5518,17,20,25293.0
1023,0,chevrolet vega 2300,gas,std,four,sedan,fwd,front,95.2,156.5,63.3,51.7,1932,ohc,four,90,2bbl,3.04,3.1,9.67,71,5370,38,43,6722.0
1024,-1,volvo diesel,gas,turbo,four,wagon,rwd,front,105.7,188.8,67.2,57.2,3185,ohc,four,128,mpfi,3.64,3.2,7.44,164,5096,17,22,19497.0
1025,1,toyota corolla liftback,gas,std,two,sedan,rwd,front,94.6,169.7,64.4,53.0,2202,ohc,four,99,2bbl,3.11,3.04,9.02,71,4796,29,34,7950.0
1026,0,buick century special,gas,std,four,sedan,rwd,front,120.6,206.3,71.4,57.0,3891,ohcv,eight,308,mpfi,3.82,3.3,8.05,186,4495,14,16,42815.0
1027,1,dodge coronet custom,gas,turbo,two,sedan,fwd,front,92.1,156.7,65.2,49.7,2174,ohc,four,98,mpfi,3.08,3.38,7.59,103,5471,24,30,8947.0
1028,3,saab 99e,gas,std,two,hatchback,fwd,front,100.0,181.1,67.0,56.3,2586,ohc,four,122,mpfi,3.55,3.06,9.22,111,5248,21,28,11988.0
1029,3,vw dasher,gas,std,two,convertible,fwd,front,94.4,160.9,65.0,54.6,2273,ohc,four,109,mpfi,3.13,3.46,8.48,91,5437,24,29,11395.0
1030,0,isuzu MU-X,gas,std,four,sedan,rwd,front,95.7,170.5,62.2,54.3,2344,ohc,four,112,2bbl,3.25,3.25,8.41,79,4921,24,29,6674.0
1031,0,subaru dl,gas,turbo,four,wagon,4wd,front,98.0,172.8,65.2,55.4,2642,ohcf,four,109,mpfi,3.57,2.65,7.68,112,4791,23,23,12000.0
1032,0,honda civic 1300,gas,std,two,hatchback,fwd,front,96.2,169.0,64.2,53.4,2267,ohc,four,111,1bbl,3.12,3.55,9.06,87,5746,27,33,9042.0
1033,0,subaru dl,gas,std,four,wagon,4wd,front,95.9,174.4,66.1,55.1,2428,ohcf,four,109,2bbl,3.66,2.6,8.96,83,4757,23,30,8349.0
1034,-1,dodge dart custom,gas,std,four,wagon,fwd,front,102.2,169.5,65.3,59.3,2522,ohc,four,122,2bbl,3.27,3.45,8.48,89,5040,24,30,9150.0
1035,-1,volvo 246,diesel,turbo,four,sedan,rwd,front,108.5,190.2,68.5,55.3,3200,ohc,six,148,idi,2.99,3.39,23.19,107,4815,26,27,23335.0
1036,2,bmw 320i,gas,std,two,sedan,rwd,front,101.0,176.1,64.9,54.0,2413,ohc,four,109,mpfi,3.47,2.81,8.75,102,5768,23,29,16105.0
1037,0,buick century special,gas,std,four,sedan,rwd,front,121.3,204.0,72.4,57.6,3861,ohcv,eight,308,mpfi,3.78,3.27,8.09,186,4465,14,16,42677.0
1038,2,renault 5 gtl,gas,std,two,hatchback,fwd,front,95.1,176.4,66.3,50.1,2455,ohc,four,133,mpfi,3.49,3.94,8.75,91,5073,23,31,10284.0
1039,3,porsche cayenne,gas,std,two,hardtop,rwd,rear,88.2,169.3,65.6,51.4,2734,ohcf,six,194,mpfi,3.71,2.89,9.3,209,5968,17,25,35324.0
1040,0,honda accord lx,gas,std,four,sedan,fwd,front,97.6,164.1,64.4,55.4,1974,ohc,four,93,1bbl,2.89,3.41,9.19,77,6031,30,35,7405.0
1041,0,chevrolet vega 2300,gas,std,four,sedan,fwd,front,93.8,160.5,63.5,51.9,1892,ohc,four,90,2bbl,3.04,3.17,9.72,71,5416,38,43,6713.0
1042,0,mazda glc deluxe,diesel,std,four,sedan,fwd,front,99.5,178.5,67.1,56.2,2492,ohc,four,122,idi,3.43,3.35,23.21,65,4620,36,43,10715.0
1043,0,isuzu D-Max V-Cross,gas,std,four,sedan,fwd,front,95.4,156.3,63.5,52.2,1933,ohc,four,90,2bbl,2.96,3.14,9.52,71,5361,38,43,8771.0
1044,1,toyota corona,gas,std,two,hatchback,fwd,front,96.5,159.6,62.7,55.0,2050,ohc,four,92,2bbl,3.03,3.07,9.04,63,4709,31,38,6368.0
1045,-1,buick skyhawk,diesel,turbo,four,sedan,rwd,front,117.6,204.0,70.9,55.8,3821,ohc,five,181,idi,3.52,3.64,21.7,124,4338,22,25,32501.0
1046,2,subaru dl,gas,std,two,hatchback,4wd,front,93.4,159.6,64.7,55.8,2248,ohcf,four,105,2bbl,3.66,2.63,8.75,74,4352,26,31,7467.0
1047,-1,volvo 145e (sw),gas,std,four,sedan,rwd,front,109.3,189.2,68.7,55.5,2917,ohc,four,140,mpfi,3.8,3.13,9.76,115,5456,23,28,16971.0
1048,0,subaru brz,gas,std,four,sedan,fwd,front,97.1,173.4,66.0,51.5,2181,ohcf,four,106,2bbl,3.59,2.69,9.36,83,4354,28,33,7863.0
1049,3,buick skylark,gas,std,two,convertible,rwd,front,98.4,180.7,72.3,50.3,3653,ohcv,eight,230,mpfi,3.44,3.09,8.47,157,4641,16,18,35237.0
1050,0,subaru brz,gas,std,four,sedan,fwd,front,97.4,174.5,65.4,52.3,2178,ohcf,four,107,2bbl,3.62,2.68,9.63,83,4398,28,33,7543.0
1051,2,volkswagen 1131 deluxe sedan,gas,std,two,sedan,fwd,front,98.6,172.9,65.8,56.4,2191,ohc,four,110,mpfi,3.23,3.48,8.91,86,5305,27,33,7672.0
1052,1,nissan latio,gas,std,four,sedan,fwd,front,94.0,166.7,64.9,54.0,1973,ohc,four,96,2bbl,3.19,3.26,9.42,70,5174,31,37,7398.0
1053,0,peugeot 604sl,gas,turbo,four,sedan,rwd,front,109.1,188.1,68.8,56.7,3120,l,four,135,mpfi,3.62,3.16,6.94,143,5595,18,24,18366.0
1054,1,mazda 626,gas,std,two,hatchback,fwd,front,99.1,176.6,67.0,54.1,2379,ohc,four,124,2bbl,3.4,3.42,8.61,85,4857,26,32,8966.0
1055,2,saab 99e,gas,turbo,four,sedan,fwd,front,101.3,184.9,66.8,55.8,2857,dohc,four,122,mpfi,3.56,3.09,9.18,162,5455,19,26,18477.0
1056,1,honda civic (auto),gas,std,two,sedan,fwd,front,96.8,170.6,64.9,51.4,2316,ohc,four,110,2bbl,3.12,3.58,9.24,101,5485,25,31,10234.0
1057,0,subaru dl,gas,turbo,four,wagon,4wd,front,98.0,169.5,64.9,55.7,2669,ohcf,four,108,mpfi,3.62,2.64,7.64,112,4833,23,23,11673.0
1058,-2,volvo 145e (sw),gas,std,four,sedan,rwd,front,104.5,188.6,67.2,56.6,2926,ohc,four,141,mpfi,3.78,3.19,9.53,115,5501,23,28,13806.0
1059,1,toyota corona,gas,std,two,hatchback,fwd,front,94.6,160.9,63.5,54.7,2005,ohc,four,91,2bbl,3.07,3.02,8.99,63,4903,31,38,6288.0
1060,1,honda accord cvcc,gas,std,two,hatchback,fwd,front,91.9,147.6,63.7,52.8,1917,ohc,four,92,1bbl,2.91,3.4,9.25,77,6091,30,34,6587.0
